twitter_followers,popularity,handle
97788,47,thecham
97148,59,shontelle_layne
97080,56,kdlang
96996,69,awolnation
96719,71,ramonesofficial
96512,70,creed
96350,53,diaframps
96102,64,onlyfuturistic
95380,48,goapele
95328,68,jacksonbrowne
95287,77,vanmorrison
95176,78,ragnboneman
94661,70,sarahconnorfc
94345,64,sineadoconnor
93944,49,jarsofclay
93858,70,cascada_music
93605,74,blocboy_jb
93257,59,gaslightanthem
93056,65,matkearney
92996,79,xambassadors
92179,63,edwardmaya
90836,77,thebeachboys
90787,41,annwilson
90726,48,jamesotto
90069,81,aloeblacc
90045,50,pauladeanda
89988,66,jimmieallen
89521,51,leelajames
89473,66,marianhillmusic
89141,66,sampha
88957,82,kehlani
88865,61,faydee
88707,74,therealroxette
88205,76,theclash
87586,59,bilal
87567,67,neontrees
87141,40,halloates
87141,77,halloates
87062,62,flyleafmusic
86563,41,pebbles2day
86263,66,nenaofficial
86061,63,kttunstall
86021,46,sadatx
85785,9,georgioxv3
85572,61,mattandkim
85279,66,rickspringfield
85171,52,ogmaco
84959,62,kiesza
84529,68,thealabamaband
83082,79,franksinatra
82642,65,hindermusic
81990,72,smbofficial
81229,61,cobrastarship
80380,66,barrymanilow
80214,59,marylambertsing
79993,54,twaynebsm
79989,70,raylamontagne
79134,56,themarsvolta
79095,71,atcq
79081,62,sickpuppies
78882,39,kristinia
78283,21,starboyterri
78274,48,icewear_vezzo
77655,81,cheatcodesmusic
77615,64,mattnathanson
77481,48,samfoxcom
77264,69,corinnebrae
77032,74,aha_com
76843,58,kraftwerk
75925,60,michaelfranti
75295,65,dragonforce
75058,44,amellarrieux
75054,63,larouxofficial
74999,54,jordansmithlive
74893,57,therealsilento
74716,78,toto99com
74515,54,thegrahamnash
74362,51,tymsproject
74300,69,modestmouseband
73824,68,unclekracker
73792,74,milkychance
73689,62,warrantrocks
73050,38,mattmcandrew
72690,63,dwightyoakam
72306,67,capitalcities
72073,70,aauthorsmusic
71787,46,dave_hollister
71748,61,humptyfunk
71404,66,madnessnews
69971,36,jimmywayne
69724,32,e_e_
69453,59,markchesnutt
68778,59,teslaband
68722,60,therattpack
68504,45,leedewyze
68435,66,ellekingmusic
68357,64,officialomd
68131,37,billygilman
67839,39,javstwtr
67498,66,redjumpsuit
67420,61,therealdwele
67141,59,evasimons
67123,53,ryancabrera
66971,64,sspu
66600,61,diamondrioband
66509,59,gracejones
66190,68,spandauballet
65846,2,itsyasmin
65354,63,chingyfulldekk
65273,59,queensryche
65237,22,cwbyall
64654,54,happy_mondays
64646,58,theafters
63906,55,gibbbarry
63682,58,andrewmcmahon
63455,61,underworldlive
63281,69,midlandofficial
63124,59,joancbaez
63100,45,gettinsweenered
62905,66,walkerhayes
62321,76,jefflynneselo
62246,70,dylanscottcntry
62244,57,itskiddkidd
62210,67,bfsrocks
62087,60,locashmusic
61999,63,dashboardmusic
61471,70,thewiggles
61007,64,jamey_johnson
60874,66,anthemlights
60604,64,ofarevolution
60039,61,blueoctober
59926,47,polowdadon
59880,64,wearejames
59609,66,officialrundmc
59538,55,horrorsofficial
59483,58,ludwiggoransson
59170,54,ylvis
59168,55,neonhitch
59135,70,kungsmusic
58705,61,howardjones
58391,61,chriscagle
58053,66,erasureinfo
57723,71,empireofthesun
57424,74,paulsimonmusic
57332,61,tiffanytunes
57251,48,theleegreenwood
57229,72,_deeppurple
56604,71,bloodpop
56399,73,chicagotheband
56147,61,joshuaradin
55351,53,chrissiehynde
55291,72,ninasimonemusic
55194,71,whitesnake
54737,49,dessadarling
54483,57,officialjonb
53692,71,plainwhitets
53213,63,jethrotull
53091,69,kcreospeedwagon
52824,67,gloriagaynor
52511,46,tqthetrojan
52294,72,officialkaleo
52065,60,lisajstansfield
52056,71,russelled
52026,54,patgreenmusic
51445,73,pussycatdolls
51359,55,livingcolour
51247,49,chesneyhawkes
50800,58,officialgogos
50243,62,mydarkestdays
50138,66,otgenasis
50010,70,agreatbigworld
49626,63,themidnightla
49489,46,thewinerydogs
48745,47,stryper
